hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,MaE,Hu,HuE,Tu,Sim,V5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,V4,V3,V2,V1,V0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
202,"Buachaille Etive Beag - Stob Dubh","03B",,"Ma,M,Sim","958","3143","NN179535","NN 17914 53532","NN169533","489","469","cairn","","obvious summit","2012-08-15","","41","384","217910","753541","56.638159","-4.970747","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,"Buachaille Etive Mor - Stob na Broige","03B",196,"Hu,M,Sim","953.4","3128","NN190525","NN 19075 52559","NN 2028 5305","818.9","134.5","rock 8m NE of large cairn","","Abney level/Leica RX1250","2021-06-05","","41","384","219071","752568","56.629879","-4.951162","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,"Beinn Sgulaird","03B",,"Ma,M,Sim","937","3074","NN053460","NN 05306 46079","NN088468","275","662","large cairn","","","2001-10-28","","50","384","205302","746088","56.566232","-5.170382","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
209,"Buachaille Etive Beag - Stob Coire Raineach","03B",,"Ma,M,Sim","924.5","3033","NN191547","NN 19144 54787","NN 1874 5448","746.8","177.7","outcrop near cairn","","Leica RX1250","2021-02-11","","41","384","219140","754796","56.649895","-4.951601","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,"Ben Cruachan","03C",,"Ma,M,Sim,CoU, CoA","1127","3698","NN069304","NN 06968 30464","NN190413","247","880","rock 3m from trig point","trig point destroyed","Leica RX1250","2014-11-11","summit measured as 1127.0m","50","377W","206964","730472","56.426841","-5.131802","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
233,"Meall a' Bhuiridh","03C",,"Ma,M,Sim","1107.9","3635","NN250503","NN 25067 50339","NN313472","313","795","cairn","outcrop 4m SW of cairn may be higher than highest natural point under cairn","obvious summit/Leica RX1250","2017-12-13","","41","384","225064","750348","56.612236","-4.852112","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
235,"Creise","03C",,"Ma,M,Sim","1099.8","3608","NN238506","NN 23859 50636","NN 2434 5007","930.4","169.4","small rock 3m from cairn","","Leica Disto D510/Leica RX1250","2014-07-28","","41","384","223855","750645","56.614448","-4.871971","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,"Stob Ghabhar","03C",,"Ma,M,Sim","1089.2","3573","NN230455","NN 23021 45506","NN229485","697","392","cairn","","Leica RX1250","2022-04-06","","50","377E 384","223017","745515","56.568103","-4.882099","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,"Ben Starav","03C",,"Ma,M,Sim","1079.5","3542","NN125427","NN 12580 42705","NN 1877 4597","630.6","448.8","cairn","trig point destroyed","Leica RX1250","2019-12-15","","50","377W","212576","742714","56.538922","-5.049748","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,"Stob Coir' an Albannaich","03C",,"Ma,M,Sim","1044","3425","NN169443","NN 16956 44294","NN163433","738","306","flat-topped cairn","","","2001-10-28","","50","377W","216952","744303","56.554903","-4.979809","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,"Stob Daimh [Stob Diamh]","03C",232,"Hu,M,Sim","999.2","3278","NN094308","NN 09486 30851","NN 0894 3071","864.7","134.5","rock 6m NE of large cairn","cairn is over 1m high and may hide higher rock","Abney level/Leica RX1250","2016-05-17","","50","377W","209482","730859","56.431336","-5.091319","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245,"Glas Bheinn Mhor","03C",,"Ma,M,Sim","997.7","3273","NN153429","NN 15332 42975","NN 1392 4237","766.4","231.3","cairn","","Leica RX1250","2019-12-15","","50","377W","215328","742984","56.542434","-5.005252","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,"Beinn Eunaich","03C",,"Ma,M,Sim","989","3245","NN135327","NN 13566 32789","NN104319","564","425","cairn","","","2012-08-15","","50","377W","213562","732797","56.450352","-5.026639","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,"Beinn a' Chochuill","03C",,"Ma,M,Sim","980","3215","NN109328","NN 10981 32841","NN 1272 3279","728","252","cairn on rock slab","","","2017-04-05","","50","377W","210977","732849","56.44979","-5.068552","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,"Beinn nan Aighenan","03C",,"Ma,M,Sim","959","3146","NN148405","NN 14855 40520","NN 1438 4158","615.6","343.4","cairn","","Leica RX1250","2023-02-05","","50","377W","214851","740528","56.520221","-5.011249","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,"Stob a' Choire Odhair","03C",,"Ma,M,Sim","945","3100","NN257459","NN 25735 45973","NN 2434 4576","665.5","279.4","cairn","","obvious summit/Leica RX1250","2022-04-06","","50","377E 384","225731","745982","56.573308","-4.838302","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,"Meall nan Eun","03C",,"Ma,M,Sim","928","3045","NN192449","NN 19252 44894","NN174446","754","174","cairn","cairn is c 40m SE of spot height on 25K OS map","","2001-10-28","","50","377E","219248","744903","56.561176","-4.942926","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,"Ben Nevis [Beinn Nibheis]","04A",,"Ma,M,Sim,CoH, CoU,CoA,SIB","1344.53","4411","NN166712","NN 16670 71279","Sea","","1344.5","no feature: natural ground 10m NW of trig point","man-made structure supporting emergency structure is higher","Leica NA730/Leica GS15","2017-11-07","","41","392","216666","771288","56.796891","-5.003675","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
279,"Aonach Beag","04A",,"Ma,M,Sim","1234","4049","NN197715","NN 19709 71493","NN186722","830","404","small cairn","","","2012-08-15","","41","392","219706","771502","56.799998","-4.954138","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
281,"Aonach Mor","04A",279,"Hu,M,Sim","1220.4","4004","NN193729","NN 19309 72953","NN193719","1087","133","large cairn","","Leica RX1250","2019-12-15","","41","392","219306","772962","56.812941","-4.961712","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
282,"Carn Mor Dearg","04A",,"Ma,M,Sim","1220","4003","NN177721","NN 17752 72163","NN175713","1058","162","cairn","","","2012-08-15","","41","392","217748","772172","56.805246","-4.986616","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
285,"Stob Choire Claurigh","04A",,"Ma,M,Sim","1177","3862","NN261738","NN 26199 73869","NN211705","731","446","cairn/shelter","","obvious summit","2001-10-28","","41","392","226196","773878","56.823786","-4.849624","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,"Binnein Mor","04A",,"Ma,M,Sim","1130","3707","NN212663","NN 21222 66343","NN239693","371","759","rock by cairn","","","2001-10-28","","41","392","221219","766352","56.754376","-4.925796","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
289,"Stob Coire an Laoigh","04A",285,"M,Sim","1116","3661","NN239725","NN 23986 72523","NN254734","1042","74","circular stone wind shelter","","obvious summit","2001-10-28","","41","392","223983","772532","56.810877","-4.884907","S","",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,"Stob Coire Easain","04A",,"Ma,M,Sim","1115","3658","NN308730","NN 30805 73057","NN280751","504","611","cairn","","","2012-08-15","","41","392","230802","773066","56.818199","-4.77371","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
292,"Stob a' Choire Mheadhoin","04A",290,"Hu,M,Sim,sMa","1105","3625","NN316736","NN 31655 73634","NN312732","965","140","cairn","","","2001-10-28","","41","392","231652","773643","56.823685","-4.760183","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
295,"Sgurr a' Mhaim","04A",,"Ma,M,Sim","1099","3606","NN164667","NN 16469 66721","NN193656","783","316","cairn","","","2012-08-15","","41","392","216465","766730","56.75592","-5.00369","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
296,"Sgurr Choinnich Mor","04A",,"Ma,M,Sim","1094","3589","NN227714","NN 22774 71410","NN232721","935","159","cairn","","obvious summit","2012-08-15","","41","392","222771","771419","56.80043","-4.90396","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301,"Na Gruagaichean","04A",287,"M,Sim,sHu","1054.3","3459","NN203652","NN 20312 65192","NN 20741 65407","957.4","96.8","cairn","","obvious summit/Leica RX1250","2014-09-07","","41","392","220309","765201","56.743699","-4.939851","S","",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
303,"Am Bodach","04A",,"Ma,M,Sim","1031.8","3385","NN176650","NN 17642 65088","NN 16907 65222","879","152.8","cairn","","Leica RX1250","2014-09-07","col height measured as 879.0m","41","392","217638","765097","56.74173","-4.98337","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
305,"Sgurr Eilde Mor","04A",,"Ma,M,Sim","1010","3314","NN230657","NN 23057 65779","NN224656","739","271","cairn","","","2012-08-15","","41","392","223054","765788","56.750015","-4.895436","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
309,"Stob Ban","04A",,"Ma,M,Sim","999.7","3280","NN147654","NN 14781 65434","NN 1567 6538","762.6","237.1","large cairn","","Leica Disto D510/Leica RX1250","2017-11-07","","41","392","214777","765443","56.743706","-5.030328","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
312,"An Gearanach","04A",,"Ma,M,Sim","981.5","3220","NN187669","NN 18774 66983","NN 1782 6547","829.8","151.7","cairn","0.2m higher than 313 Stob Coire a' Chairn","Leica RX1250","2019-08-10","de-twinned with hill 313 Stob Coire a' Chairn after 2nd survey in July 2019","41","392","218770","766992","56.759172","-4.96623","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
313,"Stob Coire a' Chairn","04A",312,"Hu,Sim,M","981.3","3219","NN185660","NN 18565 66054","NN 1867 6632","856.8","124.5","cairn","0.2m lower than hill 312 An Gearanach","Leica RX1250","2019-08-10","de-twinned with 312 An Gearanach after 2nd survey in July 2019","41","392","218561","766063","56.750756","-4.968985","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
314,"Stob Ban","04A",,"Ma,M,Sim","977","3205","NN266723","NN 26672 72386","NN264729","803","174","cairn","","obvious summit","2012-08-15","","41","392","226669","772395","56.810656","-4.840877","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
320,"Binnein Beag","04A",,"Ma,M,Sim","943","3094","NN221677","NN 22176 67705","NN217673","746","197","embedded rock in cairn","","","2012-08-15","","41","392","222173","767714","56.766961","-4.911161","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,"Mullach nan Coirean","04A",309,"M,Sim,sHu","939.3","3082","NN122662","NN 12237 66234","NN 1431 6584","847","92.3","large cairn","","Leica Disto D510/Leica RX1250","2017-11-07","col measured as 847.0m","41","392","212233","766243","56.749866","-5.072446","S","",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,"Ben Alder","04B",,"Ma,M,Sim","1148","3766","NN496718","NN 49619 71846","NN262668","365","783","trig point","cairn 15m E at NN 49633 71847 may be as high","","2001-10-28","","42","OL50 385E 393","249616","771855","56.813796","-4.465089","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
346,"Geal-charn","04B",,"Ma,M,Sim","1132","3714","NN469746","NN 46995 74620","NN480732","722","410","large cairn","","","2012-08-15","","42","OL50 393","246992","774629","56.837836","-4.509694","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
347,"Aonach Beag","04B",346,"M,Sim,sHu","1115.8","3661","NN457741","NN 45789 74181","NN 4623 7423","1017","99","cairn","","Leica RX1250","2017-12-13","","42","OL50 393","245786","774190","56.833498","-4.529175","S","",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
348,"Beinn Eibhinn","04B",346,"Hu,M,Sim","1103.3","3620","NN449733","NN 44968 73293","NN 4553 7374","976","127","cairn 170m E of larger cairn","large cairn on W top (1102.5m) is 0.80m lower","Leica RX1250","2021-02-11","","42","OL50 393","244965","773302","56.825255","-4.542077","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
349,"Beinn a' Chlachair","04B",,"Ma,M,Sim","1087","3566","NN471781","NN 47126 78147","NN477771","548","539","cairn","","obvious summit","2012-08-15","","42","OL50 393","247123","778156","56.869534","-4.509668","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
350,"Geal Charn","04B",,"Ma,M,Sim","1049","3442","NN504811","NN 50434 81172","NN489800","739","310","large cairn next to trig point","","obvious summit","2001-10-28","","42","OL50 393","250432","781181","56.897763","-4.457236","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
351,"Chno Dearg","04B",,"Ma,M,Sim","1046","3432","NN377741","NN 37744 74105","NN369661","402","644","large cairn","","obvious summit","2014-06-27","","41","OL50 393","237741","774114","56.830077","-4.66083","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
352,"Carn Dearg","04B",,"Ma,M,Sim","1034","3392","NN504764","NN 50419 76435","NN490759","876","158","outcrop 2m E of cairn","","Abney level","2001-10-28","","42","OL50 393","250416","776444","56.855242","-4.454693","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
354,"Beinn Bheoil","04B",,"Ma,M,Sim","1019","3343","NN517717","NN 51718 71713","NN506702","833","186","cairn","rock 10m SW of cairn is 20cm higher than cairn base but cairn may hide higher ground","Abney level","2012-08-15","","42","OL50 385E 393","251716","771722","56.813276","-4.430662","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
356,"Stob Coire Sgriodain","04B",351,"M,Sim,sHu","979","3212","NN356743","NN 35671 74372","NN367734","889","90","cairn","","obvious summit","2001-10-28","","41","OL50 393","235668","774381","56.831744","-4.694934","S","",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,"Sgor Gaibhre","04B",,"Ma,M,Sim","955","3133","NN444674","NN 44480 67439","NN465717","655","300","cairn","embedded rock 9m ESE of cairn is same height as cairn base","Abney level","2012-08-15","","42","385E 385W","244477","767448","56.772553","-4.546498","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
363,"Carn Dearg","04B",,"Ma,M,Sim","941","3087","NN417661","NN 41776 66134","NN432669","723","218","tall cairn","outcrop 8m NE of cairn is higher than base of cairn","Abney level","2009-11-20","","42","385W","241773","766143","56.759931","-4.589888","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
364,"Beinn na Lap","04B",,"Ma,M,Sim","935","3068","NN376695","NN 37620 69576","NN361699","529","406","cairn","","obvious summit","2001-10-28","","41","OL50 385W 393","237617","769585","56.78939","-4.659977","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
367,"Creag Pitridh","04B",350,"Hu,M,Sim","924","3031","NN487814","NN 48753 81450","NN 4888 8115","820.1","103.9","cairn","","obvious summit","2021-02-06","","34 42","OL50 OL55 393 401","248750","781459","56.899712","-4.484972","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
383,"Beinn Udlamain","05A",,"Ma,M,Sim","1010.2","3314","NN579739","NN 57947 73966","NN630759","455","555","ground on W edge of large windshelter","ground 130m N is 0.5m lower, boulder 5m SW is lower","Abney level/Leica RX1250","2017-12-13","","42","OL50 393","257945","773975","56.835444","-4.329976","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
384,"Sgairneach Mhor","05A",,"Ma,M,Sim","991","3251","NN598731","NN 59884 73121","NN582727","809","182","trig point in windshelter","cairn is 5m W at NN 59879 73120 and of equal height; ground to 15m in arc NW-W-SW <15cm lower","Abney level","2012-08-15","","42","OL50 393","259882","773130","56.828447","-4.297792","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
386,"A' Mharconaich","05A",383,"Hu,M,Sim","973.2","3193","NN604762","NN 60425 76284","NN 59178 75240","861","112","small cairn and ground to 5m SE","windshelter 95m NE at NN 60485 76354 is 1m lower. Hill 387 500m SW at NN60147 75874 is a few metres lower","Abney level/Leica RX1250","2017-12-13","","42","OL50 393","260423","776293","56.857002","-4.290668","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
388,"Meall Chuaich","05B",,"Ma,M,Sim","950.8","3119","NN716878","NN 71650 87825","NN719786","485","466","large cairn","","Leica RX1250","2023-02-05","","42","OL51W 394W","271648","787834","56.96385","-4.112568","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
389,"Carn na Caim","05B",,"Ma,M,Sim","940.8","3087","NN677821","NN 67704 82142","NN 7204 8681","612.7","328.1","cairn","","Leica RX1250","2023-02-05","","42","OL51W 394W","267702","782151","56.911722","-4.174444","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
390,"A' Bhuidheanach Bheag","05B",389,"Hu,M,Sim","936.1","3071","NN660775","NN 66061 77585","NN 6599 7898","827","109.1","no feature: ground 11m WSW of trig point","ground 600m WSW at NN 65509 77440 is 0.62m lower","Leica NA730/Leica GS15/Leica RX1250","2017-05-29","summit height measured to be 936.0m and col height measured to be 827.0m","42","OL51W 394W","266059","777594","56.870342","-4.199001","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
392,"Geal-charn","05A",,"Ma,M,Sim","917.1","3009","NN596782","NN 59646 78252","NN592766","739","178","rock 5m E of windshelter","cairn on E top at NN 59772 78288 is 0.6m lower","Leica NA730/Leica 530","2012-08-15","","42","OL50 393","259644","778261","56.874433","-4.304519","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
